id,URL,Title,Author
Emma,https://raw.githubusercontent.com/byui-cse/cse450-course/master/data/austen/austen.txt,Emma,Jane Austen
Abby,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/northanger_abbey_austen.txt,"Northanger Abbey",Jane Austen 
PeterWendy,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/peter_and_wendy_jm_barrie.txt, "Peter and Wendy",J.M. Barrie
Kensington,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/peter_pan_kensignton_gardens.txt,"Peter Pan in Kensington",J.M. Barrie
PeterPan,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/peter_pan_james_m_barrie.txt,"Peter Pan",J.M. Barrie
Time,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/aa_milne.txt, "Once upon a Time",A.A. Milne
Alice,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/aliceinwonderland.txt,"Alice's Adventures in Wonderland",C.S. Lewis
CallOfDeath,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/call_of_death_nick_carter.txt,"Call of Death",Nick Carter
WarAndPeace,https://raw.githubusercontent.com/Kate-Strydom/cse450/main/war_and_peace.txt, "War and Peace - Last Book",Leo Tolstoy

